transaction_id,customer_id,amount
1,35,1244.01
2,34,2010.89
3,96,589.66
4,45,1275.11
5,8,206.64
6,6,634.39
7,63,1867.29
8,89,973.45
9,28,1740.17
10,96,1701.23
11,16,104.97
12,36,1786.23
13,70,76.21
14,9,2198.53
15,96,182.66
16,38,1837.86
17,99,47.8
18,74,2071.24
19,72,1474.43
20,99,2352.08
21,11,2380.09
22,65,1529.51
23,46,224.0
24,37,544.37
25,90,1929.26
26,49,195.78
27,82,1020.64
28,62,621.04
29,19,1062.35
30,46,1271.37
31,18,1707.28
32,27,2295.5
33,47,1446.72
34,45,2228.6
35,87,1030.21
36,92,2252.02
37,100,1251.73
38,60,990.02
39,42,169.25
40,56,167.92
41,68,706.64
42,87,1871.34
43,5,1010.25
44,90,177.57
45,12,2405.05
46,1,2184.36
47,24,793.12
48,3,213.59
49,97,1254.86
50,24,1489.89
51,13,744.76
52,72,1797.62
53,33,2347.21
54,77,1339.86
55,95,2123.1
56,29,2154.24
57,12,1265.0
58,55,2152.16
59,55,2003.71
60,42,1161.52
61,73,877.89
62,99,2412.2
63,53,1557.27
64,53,1630.45
65,15,1198.15
66,79,361.58
67,91,2205.72
68,76,587.63
69,27,1091.46
70,5,1986.47
71,63,1465.47
72,80,1545.4
73,80,1899.84
74,72,1935.93
75,45,1843.36
76,26,153.96
77,69,290.41
78,34,296.68
79,44,46.97
80,68,355.31
81,48,1119.55
82,78,2487.42
83,5,822.71
84,31,509.77
85,69,2317.44
86,60,812.81
87,26,2323.88
88,3,1826.03
89,34,925.85
90,46,336.4
91,90,78.18
92,85,590.8
93,48,2205.99
94,99,184.53
95,64,910.59
96,93,2470.79
97,66,516.46
98,82,1986.32
99,58,1250.27
100,8,1627.89
101,59,1614.17
102,68,92.54
103,68,2002.92
104,11,1505.88
105,79,1846.03
106,43,2123.93
107,44,665.55
108,15,1948.39
109,5,1915.3
110,24,1634.28
111,73,312.1
112,68,1483.09
113,9,2205.97
114,68,1929.08
115,2,83.79
116,2,1217.99
117,13,261.09
118,76,98.87
119,99,1066.85
120,46,2399.96
121,64,500.66
122,65,2046.08
123,49,214.59
124,42,1341.46
125,94,2331.35
126,34,434.15
127,99,580.51
128,37,2009.33
129,48,1724.58
130,52,518.47
131,100,1294.42
132,52,1855.99
133,93,97.03
134,62,64.33
135,69,765.52
136,66,206.02
137,12,1331.94
138,63,849.72
139,55,1885.92
140,98,1462.88
141,18,2213.8
142,59,844.95
143,99,1262.31
144,89,1377.43
145,96,2019.57
146,62,1138.25
147,43,1736.0
148,91,631.6
149,84,390.42
150,35,2421.29
151,46,287.29
152,4,1769.66
153,38,2150.89
154,85,627.79
155,66,1992.71
156,48,1953.27
157,59,283.52
158,15,2482.63
159,14,291.68
160,48,456.78
161,44,188.05
162,26,2027.01
163,51,1865.33
164,16,109.96
165,76,503.92
166,58,300.99
167,41,270.26
168,74,222.13
169,16,2141.18
170,15,1999.03
171,90,138.87
172,31,967.86
173,25,764.36
174,53,727.08
175,64,1572.89
176,49,436.99
177,24,2279.83
